DATE,TERM,RATE,DAY
36585,5475,0.061474014,2
36585,7300,0.059592428,2
36585,9125,0.055302067,2
36585,10950,0.054021145,2
36586,1,0.047620473,3
36586,7,0.048294825,3
36586,30,0.050337159,3
36586,90,0.051365089,3
36586,180,0.053532269,3
36586,365,0.057748598,3
36586,730,0.060061583,3
36586,1095,0.062054298,3
36586,1460,0.0625051,3
36586,1825,0.061747338,3
36586,2190,0.06164439,3
36586,2555,0.061874752,3
36586,2920,0.061757901,3
36586,3285,0.061417008,3
36586,3650,0.061176169,3
36586,4380,0.06128075,3
36586,5475,0.061149842,3
36586,7300,0.05938246,3
36586,9125,0.055318272,3
36586,10950,0.054306003,3
36587,1,0.048938538,4
36587,7,0.049324324,4
36587,30,0.050555231,4
36587,90,0.051701621,4
36587,180,0.053790932,4
36587,365,0.058140104,4
36587,730,0.060298305,4
36587,1095,0.06133639,4
36587,1460,0.061713548,4
36587,1825,0.060183858,4
36587,2190,0.059685395,4
36587,2555,0.060301549,4
36587,2920,0.06104491,4
36587,3285,0.061626698,4
36587,3650,0.061932792,4
36587,4380,0.061971534,4
36587,5475,0.061644141,4
36587,7300,0.059582516,4
36587,9125,0.055411755,4
36587,10950,0.054500581,4
36588,1,0.047794525,5
36588,7,0.048425451,5
36588,30,0.050344512,5
36588,90,0.051696736,5
36588,180,0.054206349,5
36588,365,0.057656831,5
36588,730,0.060045549,5
36588,1095,0.061935023,5
36588,1460,0.062459559,5
36588,1825,0.061529947,5
36588,2190,0.061014403,5
36588,2555,0.060762099,5
36588,2920,0.060257608,5
36588,3285,0.059714763,5
36588,3650,0.059529712,5
36588,4380,0.060271979,5
36588,5475,0.061695982,5
36588,7300,0.059807108,5
36588,9125,0.05549052,5
36588,10950,0.054782572,5
36591,1,0.048231969,1
36591,7,0.048898646,1
36591,30,0.050891954,1
36591,90,0.052041884,1
36591,180,0.054496961,1
36591,365,0.057992738,1
36591,730,0.060606404,1
36591,1095,0.062523406,1
36591,1460,0.06290649,1
36591,1825,0.062282748,1
36591,2190,0.062179157,1
36591,2555,0.062352278,1
36591,2920,0.062261301,1
36591,3285,0.061982987,1
36591,3650,0.061748486,1
36591,4380,0.061627653,1
36591,5475,0.061615049,1
36591,7300,0.059643571,1
36591,9125,0.055427695,1
36591,10950,0.054311624,1
36592,1,0.047535456,2
36592,7,0.048325623,2
36592,30,0.050685438,2
36592,90,0.051904105,2
36592,180,0.054458438,2
36592,365,0.057987557,2
36592,730,0.060020344,2
36592,1095,0.061978659,2
36592,1460,0.062491474,2
36592,1825,0.061867455,2
36592,2190,0.061860162,2
36592,2555,0.062169108,2
36592,2920,0.062134669,2
36592,3285,0.061851164,2
36592,3650,0.061601403,2
36592,4380,0.061495304,2
36592,5475,0.061540104,2
36592,7300,0.059644429,2
36592,9125,0.055461592,2
36592,10950,0.05442532,2
36593,1,0.048273979,3
36593,7,0.04891483,3
36593,30,0.050840665,3
36593,90,0.052415658,3
36593,180,0.055408487,3
36593,365,0.058268954,3
36593,730,0.060219719,3
36593,1095,0.061583866,3
36593,1460,0.0621216,3
36593,1825,0.062383746,3
36593,2190,0.062404419,3
36593,2555,0.062269608,3
36593,2920,0.062091507,3
36593,3285,0.061913553,3
36593,3650,0.061761992,3
36593,4380,0.061429016,3
36593,5475,0.061299269,3
36593,7300,0.059374369,3
36593,9125,0.055177931,3
36593,10950,0.054191525,3
36594,1,0.048101327,4
36594,7,0.048840426,4
36594,30,0.051101311,4
36594,90,0.052959431,4
36594,180,0.055900726,4
36594,365,0.058448363,4
36594,730,0.06038692,4
36594,1095,0.062133242,4
36594,1460,0.062676617,4
36594,1825,0.061987088,4
36594,2190,0.06171507,4
36594,2555,0.061780032,4
36594,2920,0.061728999,4
36594,3285,0.061572851,4
36594,3650,0.061438435,4
36594,4380,0.061302834,4
36594,5475,0.061209723,4
36594,7300,0.059322426,4
36594,9125,0.055165017,4
36594,10950,0.054230483,4
36595,1,0.047924249,5
36595,7,0.048677278,5
36595,30,0.050999234,5
36595,90,0.052852514,5
36595,180,0.055691768,5
36595,365,0.058713493,5
36595,730,0.060839175,5
36595,1095,0.062109394,5
36595,1460,0.062579115,5
36595,1825,0.062703505,5
36595,2190,0.062562358,5
36595,2555,0.062302174,5
36595,2920,0.062107661,5
36595,3285,0.061998732,5
36595,3650,0.061954098,5
36595,4380,0.061881627,5
36595,5475,0.061780264,5
36595,7300,0.059855395,5
36595,9125,0.055649531,5
36595,10950,0.054642165,5
36598,1,0.048269432,1
36598,7,0.048871966,1
36598,30,0.050769421,1
36598,90,0.052520175,1
36598,180,0.05503656,1
36598,365,0.058175903,1
36598,730,0.060599754,1
36598,1095,0.061774305,1
36598,1460,0.062227005,1
36598,1825,0.062318164,1
36598,2190,0.062134406,1
36598,2555,0.061883189,1
36598,2920,0.061784867,1
36598,3285,0.061784581,1
36598,3650,0.061758674,1
36598,4380,0.061420125,1
36598,5475,0.061534739,1
36598,7300,0.059746641,1
36598,9125,0.055526523,1
36598,10950,0.054675126,1
36599,1,0.048235204,2
